term,year,term_frequency,prev_year_count,yoy_growth_pct
internet,1951,144,,
television,1951,238726,,
internet,1952,82,144,-43.06
television,1952,254260,238726,6.51
internet,1953,100,82,21.95
television,1953,320369,254260,26.0
internet,1954,391,100,291.0
television,1954,314158,320369,-1.94
internet,1955,72,391,-81.59
television,1955,305667,314158,-2.7
internet,1956,211,72,193.06
television,1956,386794,305667,26.54
internet,1957,124,211,-41.23
television,1957,388081,386794,0.33
internet,1958,136,124,9.68
television,1958,395412,388081,1.89
internet,1959,118,136,-13.24
television,1959,428874,395412,8.46
internet,1960,330,118,179.66
television,1960,434352,428874,1.28
internet,1961,195,330,-40.91
television,1961,480633,434352,10.66
internet,1962,170,195,-12.82
television,1962,526278,480633,9.5
internet,1963,157,170,-7.65
television,1963,456486,526278,-13.26
internet,1964,212,157,35.03
television,1964,444072,456486,-2.72
internet,1965,210,212,-0.94
television,1965,509422,444072,14.72
internet,1966,317,210,50.95
television,1966,576912,509422,13.25
internet,1967,720,317,127.13
television,1967,662449,576912,14.83
internet,1968,288,720,-60.0
television,1968,592118,662449,-10.62
internet,1969,276,288,-4.17
television,1969,615737,592118,3.99
internet,1970,324,276,17.39
television,1970,643224,615737,4.46
internet,1971,248,324,-23.46
television,1971,623616,643224,-3.05
internet,1972,506,248,104.03
television,1972,709371,623616,13.75
internet,1973,432,506,-14.62
television,1973,652783,709371,-7.98
internet,1974,375,432,-13.19
television,1974,647956,652783,-0.74
internet,1975,707,375,88.53
television,1975,675766,647956,4.29
internet,1976,910,707,28.71
television,1976,705564,675766,4.41
internet,1977,611,910,-32.86
television,1977,767712,705564,8.81
internet,1978,1326,611,117.02
television,1978,715446,767712,-6.81
internet,1979,1569,1326,18.33
television,1979,731316,715446,2.22
internet,1980,1399,1569,-10.83
television,1980,770673,731316,5.38
internet,1981,1798,1399,28.52
television,1981,714380,770673,-7.3
internet,1982,1565,1798,-12.96
television,1982,838812,714380,17.42
internet,1983,1678,1565,7.22
television,1983,721823,838812,-13.95
internet,1984,1562,1678,-6.91
television,1984,809407,721823,12.13
internet,1985,3485,1562,123.11
television,1985,788659,809407,-2.56
internet,1986,3306,3485,-5.14
television,1986,797333,788659,1.1
internet,1987,3164,3306,-4.3
television,1987,803519,797333,0.78
internet,1988,3980,3164,25.79
television,1988,835675,803519,4.0
internet,1989,4373,3980,9.87
television,1989,912219,835675,9.16
internet,1990,5761,4373,31.74
television,1990,931232,912219,2.08
internet,1991,15143,5761,162.85
television,1991,860547,931232,-7.59
internet,1992,7678,15143,-49.3
television,1992,938193,860547,9.02
internet,1993,9530,7678,24.12
television,1993,877295,938193,-6.49
internet,1994,17210,9530,80.59
television,1994,964650,877295,9.96
internet,1995,27702,17210,60.96
television,1995,963563,964650,-0.11
internet,1996,46069,27702,66.3
television,1996,1014061,963563,5.24
internet,1997,68562,46069,48.82
television,1997,1038916,1014061,2.45
internet,1998,84983,68562,23.95
television,1998,1036048,1038916,-0.28
internet,1999,121406,84983,42.86
television,1999,1050516,1036048,1.4
internet,2000,176109,121406,45.06
television,2000,1144984,1050516,8.99
internet,2001,182820,176109,3.81
television,2001,1150165,1144984,0.45
internet,2002,199845,182820,9.31
television,2002,1251198,1150165,8.78
internet,2003,212937,199845,6.55
television,2003,1228608,1251198,-1.81
internet,2004,234416,212937,10.09
television,2004,1298933,1228608,5.72
internet,2005,238046,234416,1.55
television,2005,1223256,1298933,-5.83
internet,2006,249271,238046,4.72
television,2006,1168056,1223256,-4.51
internet,2007,302753,249271,21.46
television,2007,1288821,1168056,10.34
internet,2008,272509,302753,-9.99
television,2008,1201713,1288821,-6.76
internet,2009,265539,272509,-2.56
television,2009,1192273,1201713,-0.79
internet,2010,284997,265539,7.33
television,2010,1083029,1192273,-9.16
internet,2011,273794,284997,-3.93
television,2011,1069911,1083029,-1.21
internet,2012,343145,273794,25.33
television,2012,1265068,1069911,18.24
internet,2013,351668,343145,2.48
television,2013,1395004,1265068,10.27
internet,2014,318561,351668,-9.41
television,2014,1196022,1395004,-14.26
internet,2015,289676,318561,-9.07
television,2015,978542,1196022,-18.18
internet,2016,337607,289676,16.55
television,2016,951178,978542,-2.8
internet,2017,346416,337607,2.61
television,2017,803437,951178,-15.53
internet,2018,353638,346416,2.08
television,2018,683102,803437,-14.98
internet,2019,388943,353638,9.98
television,2019,605155,683102,-11.41
